Simulation level:metapop
Simulation finished in 121.94 s
Outputs stored in outputs/counts.csv
         250768863 function calls (217796981 primitive calls) in 123.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
86745/66471    0.245    0.000    0.387    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   597444    0.248    0.000    0.378    0.000 sortedlist.py:171(__new__)
   594608    0.252    0.000    0.375    0.000 numerictypes.py:293(issubclass_)
    20247    0.036    0.000    0.369    0.000 base.py:4377(equals)
   142851    0.099    0.000    0.363    0.000 common.py:951(is_integer_dtype)
    50490    0.173    0.000    0.352    0.000 concat.py:130(needs_filling)
   165985    0.234    0.000    0.351    0.000 abstract_agent.py:258(init_time_entered)
    53633    0.069    0.000    0.350    0.000 groups.py:143(add)
     5049    0.010    0.000    0.350    0.000 concat.py:525(_get_comb_axis)
   198088    0.342    0.000    0.342    0.000 {built-in method numpy.empty}
   100989    0.042    0.000    0.332    0.000 _methods.py:44(_any)
30350/30347    0.042    0.000    0.332    0.000 str.py:772(sstr)
     5049    0.007    0.000    0.329    0.000 api.py:68(_get_objs_combined_axis)
   231200    0.209    0.000    0.320    0.000 atoms.py:48(add_host)
     5100    0.018    0.000    0.317    0.000 construction.py:255(<listcomp>)
   126786    0.106    0.000    0.316    0.000 common.py:508(is_datetime64_dtype)
    65790    0.085    0.000    0.316    0.000 common.py:1619(is_bool_dtype)
   158994    0.155    0.000    0.314    0.000 atoms.py:56(remove_host)
    59976    0.024    0.000    0.313    0.000 managers.py:1907(<lambda>)
    34744    0.034    0.000    0.307    0.000 <frozen importlib._bootstrap>:147(__enter__)
    69362    0.176    0.000    0.305    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
   489331    0.239    0.000    0.300    0.000 sortedset.py:306(__len__)
   147970    0.119    0.000    0.295    0.000 base.py:180(construct_from_string)
     5049    0.011    0.000    0.292    0.000 api.py:110(_get_combined_index)
        4    0.000    0.000    0.291    0.073 __init__.py:12(<module>)
    59976    0.098    0.000    0.289    0.000 blocks.py:170(_consolidate_key)
    55438    0.051    0.000    0.288    0.000 <__array_function__ internals>:2(concatenate)
    15300    0.109    0.000    0.287    0.000 managers.py:1854(_stack_arrays)
    55947    0.088    0.000    0.282    0.000 blocks.py:243(mgr_locs)
88238/87046    0.054    0.000    0.279    0.000 {built-in method builtins.any}
        6    0.000    0.000    0.279    0.046 api.py:3(<module>)
        1    0.000    0.000    0.276    0.276 state_machines.py:6(<module>)
   585068    0.274    0.000    0.274    0.000 emulsion_agent.py:111(evolve)
     5100    0.009    0.000    0.268    0.000 managers.py:1823(_simple_blockify)
    10100    0.011    0.000    0.267    0.000 misc.py:401(<lambda>)
     1527    0.012    0.000    0.265    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    20797    0.032    0.000    0.265    0.000 lambdify.py:439(wrapper)
     5049    0.017    0.000    0.260    0.000 api.py:151(_union_indexes)
    10100    0.077    0.000    0.257    0.000 abstract_process_manager.py:294(get_group_population)
  1308743    0.255    0.000    0.255    0.000 enum.py:623(name)
        1    0.000    0.000    0.254    0.254 emulsion_model.py:6(<module>)
       10    0.000    0.000    0.253    0.025 __init__.py:2(<module>)
   126735    0.085    0.000    0.253    0.000 common.py:577(is_timedelta64_dtype)
   861208    0.251    0.000    0.251    0.000 enum.py:355(<genexpr>)
   194108    0.251    0.000    0.251    0.000 sortedlist.py:235(clear)
3012367/3012201    0.250    0.000    0.250    0.000 {built-in method builtins.hash}
   705993    0.164    0.000    0.248    0.000 common.py:211(<lambda>)
  3008901    0.242    0.000    0.242    0.000 {built-in method builtins.id}
    65535    0.087    0.000    0.232    0.000 managers.py:167(shape)
     5049    0.008    0.000    0.231    0.000 numeric.py:131(_concat_same_dtype)
    35343    0.165    0.000    0.231    0.000 concat.py:438(combine_concat_plans)
    34618    0.034    0.000    0.230    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    15147    0.064    0.000    0.230    0.000 managers.py:340(_verify_integrity)
183169/183067    0.067    0.000    0.229    0.000 _asarray.py:16(asarray)
  1315328    0.229    0.000    0.229    0.000 {built-in method from_iterable}
    36170    0.041    0.000    0.228    0.000 graph.py:83(edges_from)
   346397    0.168    0.000    0.228    0.000 {built-in method builtins.sum}
   189760    0.151    0.000    0.216    0.000 sorteddict.py:351(items)
        1    0.000    0.000    0.213    0.213 __init__.py:54(<module>)
        1    0.000    0.000    0.210    0.210 generic.py:7(<module>)
    71502    0.146    0.000    0.209    0.000 cast.py:384(infer_dtype_from_scalar)
    20553    0.019    0.000    0.208    0.000 common.py:1466(needs_i8_conversion)
        3    0.000    0.000    0.205    0.068 __init__.py:11(<module>)
    40851    0.021    0.000    0.203    0.000 common.py:711(is_string_dtype)
     5100    0.026    0.000    0.201    0.000 construction.py:252(<listcomp>)
   971340    0.200    0.000    0.200    0.000 sortedlist.py:349(<genexpr>)
    51051    0.033    0.000    0.195    0.000 common.py:1825(_is_dtype)
        1    0.000    0.000    0.195    0.195 frame.py:10(<module>)
    13429    0.056    0.000    0.191    0.000 groups.py:57(_before_move)
    30565    0.072    0.000    0.187    0.000 graph.py:90(<listcomp>)
    25296    0.083    0.000    0.187    0.000 _asarray.py:223(require)
    20538    0.047    0.000    0.185    0.000 emulsion_agent.py:232(production_from)
    45806    0.089    0.000    0.185    0.000 views.py:43(get_content)
   249715    0.138    0.000    0.185    0.000 dtypes.py:717(construct_from_string)
        5    0.000    0.000    0.183    0.037 __init__.py:4(<module>)
30364/30361    0.030    0.000    0.179    0.000 printer.py:231(doprint)
   159704    0.120    0.000    0.177    0.000 sorteddict.py:362(values)
    71400    0.039    0.000    0.176    0.000 arrays.py:7(extract_array)
   251774    0.073    0.000    0.175    0.000 abc.py:137(__instancecheck__)
   492355    0.103    0.000    0.174    0.000 {method 'add' of 'set' objects}
    22967    0.029    0.000    0.169    0.000 views.py:332(get_or_build)
   215302    0.168    0.000    0.168    0.000 enum.py:354(__iter__)
    10098    0.037    0.000    0.167    0.000 missing.py:393(array_equivalent)
        9    0.000    0.000    0.167    0.019 __init__.py:9(<module>)
   158355    0.109    0.000    0.166    0.000 {pandas._libs.lib.is_scalar}
   124957    0.105    0.000    0.164    0.000 views.py:268(__getitem__)
       51    0.000    0.000    0.161    0.003 simulation.py:177(update_csv_counts)
       51    0.062    0.001    0.161    0.003 simulation.py:91(update_outputs)
    81441    0.143    0.000    0.156    0.000 sortedlist.py:461(_delete)
   195690    0.155    0.000    0.155    0.000 misc.py:407(create_state_tester)
     1527    0.003    0.000    0.153    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
   626664    0.150    0.000    0.150    0.000 {built-in method __new__ of type object at 0x104d5d568}
    80988    0.057    0.000    0.150    0.000 common.py:1585(is_float_dtype)
30420/30361    0.095    0.000    0.149    0.000 printer.py:235(_print)
   102000    0.071    0.000    0.149    0.000 {pandas._libs.lib.is_list_like}
