Simulation level:metapop
Simulation finished in 107.32 s
Outputs stored in outputs/counts.csv
         238129223 function calls (202679393 primitive calls) in 110.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
20256/15156    0.025    0.000    0.403    0.000 abstract_agent.py:155(get_model_value)
    79999    0.097    0.000    0.402    0.000 groups.py:148(remove)
   161634    0.163    0.000    0.402    0.000 {built-in method _bisect.bisect_left}
       51    0.002    0.000    0.394    0.008 managers.py:2033(<listcomp>)
     9550    0.024    0.000    0.392    0.000 views.py:302(notify_changed_units)
     5100    0.135    0.000    0.392    0.000 concat.py:28(get_mgr_concatenation_plan)
   597104    0.257    0.000    0.385    0.000 sortedlist.py:171(__new__)
317266/317113    0.378    0.000    0.385    0.000 {built-in method numpy.array}
20256/15156    0.011    0.000    0.376    0.000 misc.py:295(retrieve_value)
   102382    0.126    0.000    0.370    0.000 _dtype.py:319(_name_get)
        3    0.000    0.000    0.366    0.122 __init__.py:11(<module>)
   142851    0.099    0.000    0.362    0.000 common.py:951(is_integer_dtype)
    25500    0.083    0.000    0.357    0.000 cast.py:298(maybe_promote)
    53473    0.068    0.000    0.348    0.000 groups.py:143(add)
   166117    0.216    0.000    0.328    0.000 abstract_agent.py:258(init_time_entered)
   231626    0.209    0.000    0.317    0.000 atoms.py:48(add_host)
    34891    0.034    0.000    0.315    0.000 <frozen importlib._bootstrap>:147(__enter__)
30351/30348    0.038    0.000    0.312    0.000 str.py:772(sstr)
    69656    0.176    0.000    0.310    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    61714    0.204    0.000    0.307    0.000 {method 'copy' of 'dict' objects}
    15300    0.130    0.000    0.306    0.000 managers.py:1854(_stack_arrays)
    10100    0.010    0.000    0.305    0.000 misc.py:401(<lambda>)
       51    0.006    0.000    0.305    0.006 concat.py:266(__init__)
   158619    0.150    0.000    0.305    0.000 atoms.py:56(remove_host)
     5100    0.018    0.000    0.305    0.000 construction.py:255(<listcomp>)
    10100    0.168    0.000    0.295    0.000 abstract_process_manager.py:294(get_group_population)
   489687    0.231    0.000    0.291    0.000 sortedset.py:306(__len__)
        9    0.000    0.000    0.289    0.032 __init__.py:9(<module>)
    15759    0.050    0.000    0.283    0.000 missing.py:219(_isna_ndarraylike)
   147970    0.111    0.000    0.279    0.000 base.py:180(construct_from_string)
   905536    0.278    0.000    0.278    0.000 enum.py:355(<genexpr>)
        1    0.000    0.000    0.275    0.275 intersection.py:4(<module>)
     1717    0.017    0.000    0.275    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        6    0.000    0.000    0.275    0.046 api.py:3(<module>)
  2288584    0.271    0.000    0.272    0.000 {built-in method builtins.issubclass}
  1363517    0.270    0.000    0.270    0.000 enum.py:623(name)
    25500    0.089    0.000    0.267    0.000 algorithms.py:1481(_get_take_nd_function)
       51    0.000    0.000    0.264    0.005 concat.py:489(_get_new_axes)
   587766    0.260    0.000    0.260    0.000 emulsion_agent.py:111(evolve)
     5100    0.009    0.000    0.260    0.000 managers.py:1823(_simple_blockify)
   138112    0.255    0.000    0.255    0.000 {built-in method numpy.empty}
2994559/2994393    0.248    0.000    0.248    0.000 {built-in method builtins.hash}
     1712    0.002    0.000    0.247    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
    15249    0.022    0.000    0.246    0.000 base.py:4377(equals)
     1712    0.008    0.000    0.245    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
   193169    0.245    0.000    0.245    0.000 sortedlist.py:235(clear)
   102382    0.092    0.000    0.244    0.000 numerictypes.py:365(issubdtype)
    20798    0.031    0.000    0.243    0.000 lambdify.py:439(wrapper)
    15657    0.036    0.000    0.242    0.000 blocks.py:120(__init__)
     1525    0.007    0.000    0.240    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    34765    0.036    0.000    0.237    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  2988461    0.237    0.000    0.237    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.232    0.232 figure.py:11(<module>)
        1    0.000    0.000    0.230    0.230 metamodel.py:3(<module>)
     1525    0.227    0.000    0.227    0.000 {built-in method marshal.loads}
     2595    0.030    0.000    0.224    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
  1346927    0.221    0.000    0.221    0.000 {built-in method from_iterable}
        8    0.000    0.000    0.219    0.027 __init__.py:8(<module>)
        2    0.000    0.000    0.217    0.109 __init__.py:16(<module>)
    35982    0.040    0.000    0.217    0.000 graph.py:83(edges_from)
        1    0.000    0.000    0.217    0.217 registration.py:3(<module>)
        1    0.000    0.000    0.216    0.216 simulation.py:5(<module>)
   200548    0.147    0.000    0.207    0.000 sorteddict.py:351(items)
        1    0.000    0.000    0.207    0.207 generic.py:7(<module>)
    71502    0.139    0.000    0.202    0.000 cast.py:384(infer_dtype_from_scalar)
     5151    0.010    0.000    0.195    0.000 managers.py:654(_consolidate_check)
     5151    0.077    0.000    0.193    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
     5100    0.025    0.000    0.193    0.000 construction.py:252(<listcomp>)
        1    0.000    0.000    0.192    0.192 frame.py:10(<module>)
        5    0.000    0.000    0.186    0.037 __init__.py:17(<module>)
   969096    0.184    0.000    0.184    0.000 sortedlist.py:349(<genexpr>)
     5151    0.007    0.000    0.184    0.000 managers.py:655(<listcomp>)
    13236    0.054    0.000    0.184    0.000 groups.py:57(_before_move)
158180/158078    0.050    0.000    0.182    0.000 _asarray.py:16(asarray)
    71808    0.051    0.000    0.178    0.000 common.py:508(is_datetime64_dtype)
    45638    0.082    0.000    0.178    0.000 views.py:43(get_content)
    30398    0.070    0.000    0.177    0.000 graph.py:90(<listcomp>)
    20440    0.046    0.000    0.177    0.000 emulsion_agent.py:232(production_from)
    15606    0.016    0.000    0.177    0.000 blocks.py:347(ftype)
   351758    0.161    0.000    0.176    0.000 {built-in method builtins.sum}
   226384    0.172    0.000    0.172    0.000 enum.py:354(__iter__)
    71400    0.036    0.000    0.170    0.000 arrays.py:7(extract_array)
   481083    0.113    0.000    0.170    0.000 common.py:211(<lambda>)
   160292    0.120    0.000    0.168    0.000 sorteddict.py:362(values)
30365/30362    0.028    0.000    0.167    0.000 printer.py:231(doprint)
    15963    0.040    0.000    0.164    0.000 blocks.py:243(mgr_locs)
   234721    0.120    0.000    0.162    0.000 dtypes.py:717(construct_from_string)
    22807    0.027    0.000    0.162    0.000 views.py:332(get_or_build)
   454105    0.091    0.000    0.162    0.000 {method 'add' of 'set' objects}
1669/1668    0.005    0.000    0.161    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    35802    0.041    0.000    0.160    0.000 common.py:1619(is_bool_dtype)
   124754    0.103    0.000    0.159    0.000 views.py:268(__getitem__)
     7817    0.153    0.000    0.153    0.000 {built-in method posix.stat}
